epoch,train_loss,train_acc,val_loss,val_acc
0,2.961927013397217,0.096875,2.544370384216309,0.29
1,2.5756165194511413,0.19375,1.9276297855377198,0.46
2,2.2227103006839752,0.296875,1.440255310535431,0.5
3,1.8465401136875152,0.39625,0.8865483865141869,0.8
4,1.4983669519424438,0.494375,0.471035336330533,0.925
5,1.180921368598938,0.603125,0.22577584996819497,1.0
6,1.0082491824030877,0.663125,0.1312165506929159,0.985
7,0.8742312949895858,0.715,0.05889284044504166,1.0
8,0.6944943311810493,0.77875,0.028073238432407378,1.0
9,0.6151872882246971,0.805625,0.021287642761599272,1.0
10,0.5184782053530216,0.830625,0.010686628128169104,1.0
11,0.4751216464489698,0.845625,0.004791039658593945,1.0
12,0.39739547461271285,0.871875,0.00472610361102852,1.0
13,0.3831297467648983,0.873125,0.002091484472330194,1.0
